***  Name                Hauptsitz           Land                Umsatz              
1    Apple               Cupertico           USA                 476                 
2    Audi                Ingolstadt          Deutschland         57                  
3    Daimler             Stuttgart           Deutschland         324                 
4    Festo               Esslingen           Deutschland         1                   
5    Gazprom             Moskau              Russland            302                 
6    Google              SF                  USA                 854                 
7    HugoBoss            Metzingen           Deutschland         1                   
8    Microsoft           Seattle             USA                 356                 
9    Porsche             Zuffenhausen        Deutschland         23                  
10   Samsung             Suwon               Suedkorea           435                 
11   Sinopec             Peking              China               467                 
12   Thales              Paris               Frankreich          13                  
13   Toyota              Toyota              Japan               3                   
14   Sautter             Metzingen           Deutschland         1                   
15   DHBW                Stuttgart           Deutschland         1                   
16   Bosch               Feuerbach           Deutschland         50                  
17   BMW                 Muenchen            Deutschland         43                  
